Designator,Mid X,Mid Y,Rotation,Layer
C1,4.3000,-64.5000,0.0000,Top
C2,63.9000,46.9000,75.0000,Top
C3,58.0000,28.3000,-105.0000,Top
C4,55.8000,39.2000,-105.0000,Top
C5,87.7100,32.7200,45.0000,Top
C6,74.0400,20.4500,-135.0000,Top
C7,77.2011,30.3011,-135.0000,Top
C8,102.0000,9.0000,15.0000,Top
C9,83.1000,4.9000,-165.0000,Top
C10,91.1000,12.1000,-165.0000,Top
C11,102.0000,-19.0000,-15.0000,Top
C12,83.2000,-12.9000,165.0000,Top
C13,94.2486,-10.7006,165.0000,Top
C14,87.7000,-42.8000,-45.0000,Top
C15,75.2000,-28.7000,135.0000,Top
C16,85.4000,-32.1000,135.0000,Top
C17,63.8000,-57.0000,-75.0000,Top
C18,59.8000,-37.6486,105.0000,Top
C19,67.3000,-46.1000,105.0000,Top
C20,36.1000,-57.1000,-105.0000,Top
C21,42.2000,-38.4000,75.0000,Top
C22,44.3000,-49.2000,75.0000,Top
C23,12.1000,-43.1000,-135.0000,Top
C24,26.3480,-30.1520,45.0000,Top
C25,23.0000,-40.5000,45.0000,Top
C26,-2.1000,-18.9000,-165.0000,Top
C27,17.2000,-14.9000,15.0000,Top
C28,8.8000,-21.9000,15.0000,Top
C29,-1.8000,8.8000,165.0000,Top
C30,16.3514,3.1006,-15.0000,Top
C31,5.8000,0.8000,-15.0000,Top
C32,12.1000,32.9000,135.0000,Top
C33,24.8000,18.8000,-45.0000,Top
C34,14.6000,22.2000,-45.0000,Top
C35,36.1000,46.8000,105.0000,Top
C36,40.3000,27.6000,-75.0000,Top
C37,33.0006,36.1514,-75.0000,Top
R1,44.7800,-8.2000,0.0000,Top
R2,44.7900,-7.0500,0.0000,Top
R3,53.3680,35.7000,-105.0000,Top
R4,54.3000,39.7000,-105.0000,Top
R5,73.5011,28.6511,-135.0000,Top
R6,76.1511,31.3511,-135.0000,Top
R7,86.7074,12.6000,-165.0000,Top
R8,90.7074,13.6680,-165.0000,Top
R9,90.9000,-8.0000,165.0000,Top
R10,94.9000,-9.1000,165.0000,Top
R11,84.1606,-28.2606,135.0000,Top
R12,86.7606,-30.9606,135.0000,Top
R13,68.1000,-42.0000,105.0000,Top
R14,69.1320,-45.7926,105.0000,Top
R15,46.9000,-46.0000,75.0000,Top
R16,45.9000,-49.7000,75.0000,Top
R17,27.1000,-38.9000,45.0000,Top
R18,24.1606,-41.7394,45.0000,Top
R19,12.8000,-22.7000,15.0000,Top
R20,9.2000,-23.7000,15.0000,Top
R21,8.6000,-2.0000,-15.0000,Top
R22,5.3000,-1.0000,-15.0000,Top
R23,15.8606,18.3394,-45.0000,Top
R24,13.2520,21.1480,-45.0000,Top
R25,32.3000,32.5000,-75.0000,Top
R26,31.3520,35.8520,-75.0000,Top
U1,50.0000,-5.0000,180.0000,Top
U2,62.0141,39.8371,-105.0000,Top
U3,60.2025,33.0762,-105.0000,Top
U4,82.8239,27.8239,-135.0000,Top
U5,77.8741,22.8742,-135.0000,Top
U6,94.8371,7.0141,-165.0000,Top
U7,88.0762,5.2025,-165.0000,Top
U8,94.8371,-17.0141,165.0000,Top
U9,88.0762,-15.2025,165.0000,Top
U10,82.8231,-37.8231,135.0000,Top
U11,77.8737,-32.8737,135.0000,Top
U12,62.0141,-49.8371,105.0000,Top
U13,60.2025,-43.0762,105.0000,Top
U14,37.9859,-49.8371,75.0000,Top
U15,39.7975,-43.0762,75.0000,Top
U16,17.1769,-37.8231,45.0000,Top
U17,22.1263,-32.8737,45.0000,Top
U18,5.1629,-17.0141,15.0000,Top
U19,11.9238,-15.2025,15.0000,Top
U20,5.1629,7.0141,-15.0000,Top
U21,11.9238,5.2025,-15.0000,Top
U22,17.1769,27.8231,-45.0000,Top
U23,22.1263,22.8737,-45.0000,Top
U24,37.9859,39.8371,-75.0000,Top
U25,39.7975,33.0762,-75.0000,Top
